[05:00:06 - INFO] Attack Started to 192.168.56.78:80 with TCP method for 80 seconds
[05:01:13 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 935.90k, BPS: 886.34 MB / 84%
[05:01:14 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.86m, BPS: 872.74 MB / 85%
[05:01:15 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 937.93k, BPS: 888.79 MB / 86%
[05:01:16 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 64.31k, BPS: 950.01 MB / 88%
[05:01:17 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 962.60k, BPS: 910.57 MB / 89%
[05:01:18 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 991.96k, BPS: 938.56 MB / 90%
[05:01:19 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 966.19k, BPS: 914.21 MB / 91%
[05:01:20 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 936.74k, BPS: 885.53 MB / 93%
[05:01:21 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 949.38k, BPS: 897.27 MB / 94%
[05:01:22 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 936.22k, BPS: 887.65 MB / 95%
[05:01:23 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 914.29k, BPS: 864.62 MB / 96%
[05:01:24 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 923.45k, BPS: 875.36 MB / 98%
[05:01:25 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 938.41k, BPS: 889.02 MB / 99%
